show_slug,season_name,from_name,to_name,type,label
kyousuki,テグ編,ゆずは,はるき,love,両思い？
kyousuki,テグ編,みお,はるき,rival,三角関係
kyousuki,テグ編,みお,そうた,interest,気になる
kyousuki,テグ編,りこ,れん,love,片思い
kyousuki,テグ編,そうた,ゆずは,interest,気になる
kyousuki,テグ編,れん,みお,interest,気になる
kyousuki,卒業編 2025冬,あいり,かいと,couple,成立！
kyousuki,卒業編 2025冬,ひなた,ゆうま,love,両思い
heart-signal-japan,シーズン1,なつみ,けんた,love,両思い？
heart-signal-japan,シーズン1,あかね,けんた,rival,三角関係
heart-signal-japan,シーズン1,だいき,なつみ,interest,片思い
shuffle-island,シーズン4,まりな,ひろと,couple,カップル成立
shuffle-island,シーズン4,あやか,こうへい,interest,気になる
ai-no-sato,シーズン2,まゆ,たかし,couple,成立！
ai-no-sato,シーズン2,えりか,しゅん,love,両思い
love-transit,シーズン2,りさ,こうたろう,love,復縁？
love-transit,シーズン2,ちひろ,たくみ,interest,気になる
