slug,title,short_name,platform,platform_color,emoji,show_status,genre,target,priority,youtube_channel_id,affiliate_url
kyousuki,今日、好きになりました。,今日好き,ABEMA,#00B900,💗,放送中,青春恋愛,中高生,1,,
ookami-kun,オオカミくんには騙されない,オオカミくん,ABEMA,#00B900,🐺,過去作,心理×恋愛,中高生,2,,
ookami-chan,オオカミちゃんには騙されない,オオカミちゃん,ABEMA,#00B900,🐺,過去作,心理×恋愛,中高生,3,,
koi-sute,恋する♡週末ホームステイ,恋ステ,ABEMA,#00B900,🏠,放送中,青春恋愛,中高生,4,,
shuffle-island,シャッフルアイランド,シャッフル,ABEMA,#00B900,🏝️,配信中,南国恋愛,10代〜20代,5,,
love-power-kingdom,ラブパワーキングダム,ラブパワ,ABEMA,#00B900,👑,配信中,恋愛サバイバル,10代〜20代,6,,
dra-koi,恋愛ドラマな恋がしたい,ドラ恋,ABEMA,#00B900,🎬,過去作,俳優×恋愛,10代〜20代,7,,
sayopro,さよならプロポーズ,さよプロ,ABEMA,#00B900,💍,過去作,結婚決断,20代〜30代,8,,
wedding-wars,ウェディングウォーズ,ウェディングウォーズ,ABEMA,#00B900,💒,過去作,結婚サバイバル,20代〜30代,9,,
heart-signal-japan,HEART SIGNAL JAPAN,ハートシグナル,ABEMA,#00B900,💓,配信中,同居恋愛,20代〜30代,10,,
love-catcher-japan,ラブキャッチャー Japan,ラブキャッチャー,ABEMA,#00B900,🎣,過去作,心理×恋愛,20代〜30代,11,,
nobishiro-time,すーぱーのびしろたいむ,のびしろたいむ,ABEMA,#00B900,🌟,配信中,青春バラエティ,中高生,12,,
ikinari-marriage,いきなりマリッジ,いきなりマリッジ,ABEMA,#00B900,💒,過去作,婚活実験,20代〜30代,13,,
toshishita-ouji,私の年下王子さま,年下王子,ABEMA,#00B900,🤴,過去作,年の差恋愛,20代〜30代,14,,
ai-no-sato,あいの里,あいの里,Netflix,#E50914,🏡,配信中,大人の恋愛,20代〜40代,15,,
love-is-blind-japan,ラブ イズ ブラインド JAPAN,ラブブラ,Netflix,#E50914,💝,配信中,ブラインド婚活,20代〜30代,16,,
boyfriend,ボーイフレンド,ボーイフレンド,Netflix,#E50914,👬,配信中,男性同士恋愛,全年代,17,,
off-love,オフライン ラブ,オフラブ,Netflix,#E50914,📵,過去作,デジタルデトックス恋愛,20代〜30代,18,,
love-joto,ラヴ上等,ラヴ上等,Netflix,#E50914,🔥,過去作,ヤンキー恋愛,20代〜30代,19,,
love-deadline,ラブ デッドライン,ラブデッドライン,Netflix,#E50914,⏰,過去作,女性主導婚活,20代〜30代,20,,
realove,REA(L)OVE,REA(L)OVE,Netflix,#E50914,🤫,過去作,秘密恋愛,20代〜30代,21,,
the-house,THE HOUSE.,THE HOUSE.,Netflix,#E50914,🏠,過去作,同居恋愛,20代〜30代,22,,
terrace-house,テラスハウス,テラハ,Netflix,#E50914,🏡,過去作,シェアハウス恋愛,20代〜30代,23,,
ainori,あいのり,あいのり,Netflix,#E50914,🚌,過去作,ラブワゴン旅,20代〜30代,24,,
dasshutsu-ohitorisama,脱出おひとり島,脱出おひとり島,Netflix,#E50914,🏝️,配信中,サバイバル恋愛,20代〜30代,25,,
bachelor-japan,バチェラー・ジャパン,バチェラー,Prime Video,#00A8E1,🌹,配信中,婚活サバイバル,20代〜30代,26,,
bachelorette-japan,バチェロレッテ・ジャパン,バチェロレッテ,Prime Video,#00A8E1,🌹,過去作,女性版婚活,20代〜30代,27,,
love-transit,ラブ トランジット,ラブトラ,Prime Video,#00A8E1,🔄,配信中,元カレ元カノ恋愛,20代〜30代,28,,
koi-last-vacation,恋のLast Vacation,恋のLast Vacation,U-NEXT,#FF6B00,🌴,過去作,恋愛バラエティ,20代〜30代,29,,
last-kiss,LAST KISS,LAST KISS,Paravi,#1BA0D7,💋,過去作,恋愛バラエティ,20代〜30代,30,,
pink-lie,ピンク・ライ,ピンク・ライ,Disney+,#113CCF,🩷,配信中,恋愛バラエティ,20代〜30代,31,,
