show_slug,season_name,name,ig_username,tiktok_username,x_username,role,gender,age,from_area
kyousuki,テグ編,ゆずは,yuzuha_official,yuzuha_tt,,女子メンバー,f,17,東京都
kyousuki,テグ編,みお,mio_kyousuki,mio_tt,,女子メンバー,f,17,大阪府
kyousuki,テグ編,りこ,riko_kyousuki,riko_tt,,女子メンバー,f,16,神奈川県
kyousuki,テグ編,はるき,haruki_kyo,haruki_tt,,男子メンバー,m,18,大阪府
kyousuki,テグ編,そうた,souta_kyo,souta_tt,,男子メンバー,m,17,東京都
kyousuki,テグ編,れん,ren_kyo,ren_tt,,男子メンバー,m,18,福岡県
kyousuki,卒業編 2025冬,あいり,airi_sotsu25,,airi_x,女子メンバー,f,18,北海道
kyousuki,卒業編 2025冬,ひなた,hinata_sotsu25,,hinata_x,女子メンバー,f,17,愛知県
kyousuki,卒業編 2025冬,かいと,kaito_sotsu25,kaito_tt,,男子メンバー,m,18,千葉県
kyousuki,卒業編 2025冬,ゆうま,yuuma_sotsu25,yuuma_tt,,男子メンバー,m,17,埼玉県
koi-sute,2026冬,さくら,sakura_koiste,sakura_tiktok,,女子メンバー,f,17,東京都
koi-sute,2026冬,ことね,kotone_koiste,,,女子メンバー,f,16,京都府
koi-sute,2026冬,たける,takeru_koiste,takeru_tiktok,,男子メンバー,m,18,神奈川県
koi-sute,2026冬,りく,riku_koiste,,,男子メンバー,m,17,大阪府
shuffle-island,シーズン4,まりな,marina_shuffle4,marina_si4,,女性参加者,f,24,東京都
shuffle-island,シーズン4,あやか,ayaka_shuffle4,,,女性参加者,f,22,福岡県
shuffle-island,シーズン4,ひろと,hiroto_shuffle4,hiroto_si4,,男性参加者,m,25,東京都
shuffle-island,シーズン4,こうへい,kouhei_shuffle4,,,男性参加者,m,24,大阪府
heart-signal-japan,シーズン1,なつみ,natsumi_hs,natsumi_tiktok,,女性参加者,f,27,東京都
heart-signal-japan,シーズン1,あかね,akane_hs,,,女性参加者,f,25,大阪府
heart-signal-japan,シーズン1,けんた,kenta_hs,kenta_tiktok,,男性参加者,m,28,東京都
heart-signal-japan,シーズン1,だいき,daiki_hs,,,男性参加者,m,26,神奈川県
ai-no-sato,シーズン2,まゆ,mayu_ainosato,,,女性参加者,f,35,東京都
ai-no-sato,シーズン2,えりか,erika_ainosato,erika_tt,,女性参加者,f,32,大阪府
ai-no-sato,シーズン2,たかし,takashi_ainosato,,,男性参加者,m,38,東京都
ai-no-sato,シーズン2,しゅん,shun_ainosato,shun_tt,,男性参加者,m,33,北海道
love-is-blind-japan,シーズン2,みさき,misaki_lbj,,,女性参加者,f,29,東京都
love-is-blind-japan,シーズン2,さやか,sayaka_lbj,sayaka_tiktok,,女性参加者,f,27,愛知県
love-is-blind-japan,シーズン2,りょうた,ryouta_lbj,,,男性参加者,m,31,東京都
love-is-blind-japan,シーズン2,ゆうき,yuuki_lbj,,,男性参加者,m,28,大阪府
boyfriend,シーズン2,はやと,hayato_bf2,hayato_tt,,参加者,m,26,東京都
boyfriend,シーズン2,かずま,kazuma_bf2,,,参加者,m,24,京都府
boyfriend,シーズン2,りゅうせい,ryusei_bf2,ryusei_tt,,参加者,m,27,福岡県
boyfriend,シーズン2,しょうた,shouta_bf2,,,参加者,m,25,大阪府
bachelor-japan,シーズン6,ゆい,yui_bachelor6,,,女性参加者,f,28,東京都
bachelor-japan,シーズン6,のぞみ,nozomi_bachelor6,,,女性参加者,f,26,神奈川県
bachelor-japan,シーズン6,まい,mai_bachelor6,mai_tiktok,,女性参加者,f,27,大阪府
bachelor-japan,シーズン6,けいすけ,keisuke_bachelor6,,,バチェラー,m,35,東京都
love-transit,シーズン2,りさ,risa_lt2,risa_tiktok,,女性参加者,f,26,東京都
love-transit,シーズン2,ちひろ,chihiro_lt2,,,女性参加者,f,24,北海道
love-transit,シーズン2,こうたろう,koutarou_lt2,koutarou_tt,,男性参加者,m,27,東京都
love-transit,シーズン2,たくみ,takumi_lt2,,,男性参加者,m,25,大阪府
dasshutsu-ohitorisama,シーズン3,あかり,akari_ohitori,,,女性参加者,f,28,東京都
dasshutsu-ohitorisama,シーズン3,ひかる,hikaru_ohitori,hikaru_tt,,男性参加者,m,29,大阪府
pink-lie,シーズン1,もも,momo_pinklie,momo_tt,,女性参加者,f,24,東京都
pink-lie,シーズン1,かなで,kanade_pinklie,,,男性参加者,m,26,神奈川県
