show_slug,season_name,year,badge,order
kyousuki,テグ編,2026,ON AIR,1
kyousuki,卒業編 2025冬,2025,,2
kyousuki,グアム編,2025,,3
kyousuki,金木犀編,2025,,4
kyousuki,紫陽花編,2024,,5
ookami-kun,シーズン8,2023,,1
ookami-kun,シーズン7,2022,,2
ookami-chan,シーズン5,2022,,1
ookami-chan,シーズン4,2021,,2
koi-sute,2026冬,2026,ON AIR,1
koi-sute,2025秋,2025,,2
koi-sute,2025夏,2025,,3
shuffle-island,シーズン4,2026,NEW,1
shuffle-island,シーズン3,2025,,2
shuffle-island,シーズン2,2024,,3
love-power-kingdom,シーズン1,2025,配信中,1
dra-koi,シーズン7,2023,,1
dra-koi,シーズン6,2022,,2
heart-signal-japan,シーズン1,2025,配信中,1
love-catcher-japan,シーズン1,2023,,1
nobishiro-time,シーズン1,2025,配信中,1
ai-no-sato,シーズン3,2026,COMING,1
ai-no-sato,シーズン2,2025,,2
ai-no-sato,シーズン1,2024,,3
love-is-blind-japan,シーズン2,2025,配信中,1
love-is-blind-japan,シーズン1,2024,,2
boyfriend,シーズン2,2026,ON AIR,1
boyfriend,シーズン1,2024,,2
off-love,シーズン1,2024,,1
love-joto,シーズン1,2024,,1
dasshutsu-ohitorisama,シーズン3,2025,配信中,1
bachelor-japan,シーズン6,2025,配信中,1
bachelor-japan,シーズン5,2024,,2
bachelorette-japan,シーズン2,2023,,1
love-transit,シーズン2,2025,配信中,1
love-transit,シーズン1,2024,,2
pink-lie,シーズン1,2025,配信中,1
